"Project URL",Categories,Technology,Priority,Description
https://www.drusktradingcompany.com/,"Wholesale / B2B, Essential oils / Cooking oils / Olive oils, Website / Web App",Shopify,3,"Olive oil, Jam, Bundled product, Strike feature, Gift box, Corporate gifts"
https://webgardencentre.com/,"Ecommerce , Plants / Environment / Agriculture, Product Options, Website / Web App",Shopify,5,"Plants, Fruit trees, Grass and ferns, Shrubs, Fertilizers, Customer chat, Quick view.

Product display (Vertical/Horizontal) : https://webgardencentre.com/collections/mini-citrus

Product options :  https://webgardencentre.com/products/mini-lime-citrus-tree"
https://microdermamitt.com/,"Ecommerce , Skin Care / Beauty, Product Options, Website / Web App",Shopify,4,"Olive face and body oil, makeup remover, skin care, Soap, Blog, FAQ.

Product options: https://microdermamitt.com/products/face-mitt"
https://apps.shopify.com/gatsby,"Ecommerce , Plugins / Apps / Extensions , Point of sale / POS, Rewards / Discounts / Coupons / Offers","Shopify, Engagement, Social Media",7,"Shopify POS, Works with Checkout, Affiliate program, Instagram UGC tracker & DM automations, Influencer program, Email and SMS managing, Manage Instagram and Tiktok content, Track referral and rewards, Bulk discounts, Manage coupons and discounts, Advance Analytics, automation, Tagging, Integrated with Klaviyo, Yotpo, LoyaltyLion, Attentive, Sendlane, Stamped.

SaaS web app :  https://www.gatsby.ai/"
https://apps.shopify.com/postpop,"Ecommerce , Plugins / Apps / Extensions",Shopify,5,"One click Upsell/downsell, Post purchase offers, CRO, ROI reporting and analytics, Drag and drop builder, 24/7 support, Boost AOV."
https://apps.shopify.com/my-envelope,"One Page Checkout, Ecommerce , Plugins / Apps / Extensions",Shopify,5,"All in one cart and wishlist solution, Add wishlist, Create bookmarks, Take screenshots, Single sign in, Product reminders, Handle cart abandonment"
https://apps.shopify.com/us-print-factory,"Ecommerce , Plugins / Apps / Extensions , DropShipping / Logistics, Tools / Customisers / Personalisers",Shopify,6,"POD, Fulfilment and dropshipping, Product customization, Product personalization, Multiple color and size options, CPA margin calculator."
https://apps.shopify.com/group-shop,"Ecommerce , Plugins / Apps / Extensions",Shopify,6,"Affiliate sales, Referral program, Shareable microstores with customers, Handle cashback process, Discounts, Analytics"
https://apps.shopify.com/ecom-shipping,"One Page Checkout, Ecommerce , Plugins / Apps / Extensions , DropShipping / Logistics, Online Calculators",Shopify,3,"Shipping, Logistic app, Shipping calculator"
https://apps.shopify.com/returnzap,"Ecommerce , Plugins / Apps / Extensions",Shopify,7,"RMS, Return management system, Return and exchange products portal, Return shipping, Refund, Automated return label, Works with EasyPost/Royal Mail/Canada Post/Sendcloud/Shippo/USPS"
https://apps.shopify.com/noqoody,"Ecommerce , Plugins / Apps / Extensions , Payment gateways",Shopify,5,"Payment gateway app, Pay by cards, Refund system, Custom reports, Multiple payment options such as Visa/Mastercard/JCB/Discover/American Express/UnionPay/Naps, Secured PCI."
https://apps.shopify.com/bazar-widget,"Ecommerce , Plugins / Apps / Extensions , Rewards / Discounts / Coupons / Offers, Survey",Shopify,5,"CRO, Survey customers, Affiliate marketing, Email capturing, Discounts popups, Reward points, Generate Discount codes, Weekly discounts, Email capturing, Book consultation."
